"Document Version","Phiên bản Công văn"
"Document Versions","Các phiên bản Công văn"
"Download Error","Lỗi tải xuống"
"Download File","Tải xuống tệp"
"Download Request Failed","Yêu cầu tải xuống thất bại"
"Download started. Check your browser downloads.","Đã bắt đầu tải xuống. Kiểm tra mục tải xuống của trình duyệt."
"Enter the Object ID of the Microsoft 365 Group whose SharePoint site you want to use.","Nhập ID đối tượng của Nhóm Microsoft 365 mà bạn muốn sử dụng trang SharePoint của nhóm đó."
"Error fetching SharePoint link: {0}. Document creation aborted.","Lỗi khi lấy liên kết SharePoint: {0}. Việc tạo Công văn đã bị hủy bỏ."
"Error fetching file details for download. Check server logs.","Lỗi khi lấy chi tiết tệp để tải xuống. Kiểm tra nhật ký máy chủ."
"Error fetching file details. Check server logs.","Lỗi khi lấy chi tiết tệp. Kiểm tra nhật ký máy chủ."
"Error fetching file link. Check server logs.","Lỗi khi lấy liên kết tệp. Kiểm tra nhật ký máy chủ."
"Error fetching item details. Check server logs.","Lỗi khi lấy chi tiết mục. Kiểm tra nhật ký máy chủ."
"Failed to communicate for SharePoint upload.","Không thể giao tiếp để tải lên SharePoint."
"Failed to communicate for file details.","Không thể giao tiếp để lấy chi tiết tệp."
"Failed to communicate for file link.","Không thể giao tiếp để lấy liên kết tệp."
"Failed to communicate for item details.","Không thể giao tiếp để lấy chi tiết mục."
"Failed to fetch IDs and Group Name.","Không thể lấy ID và Tên nhóm."
"Failed to fetch file details for download.","Không thể lấy chi tiết tệp để tải xuống."
"Failed to send download request to the server. Check network and server logs.","Không thể gửi yêu cầu tải xuống đến máy chủ. Kiểm tra mạng và nhật ký máy chủ."
"Fetch IDs","Lấy ID"
"Fetch SharePoint IDs","Lấy ID SharePoint"
"Fetch SharePoint Site/Drive IDs from Group ID","Lấy ID Trang/Ổ đĩa SharePoint từ ID nhóm"
"Fetching Group Details...","Đang lấy chi tiết nhóm..."
"Fetching SharePoint IDs...","Đang lấy ID SharePoint..."
"Fetching details for selected SharePoint item...","Đang lấy chi tiết cho mục SharePoint đã chọn..."
"Fetching file details for download...","Đang lấy chi tiết tệp để tải xuống..."
"Fetching file details for upload...","Đang lấy chi tiết tệp để tải lên..."
"File '{0}' is selected for linking. If 'Process Selection' is clicked now, this file will be linked. To upload a new file instead, clear the selection first.","Tệp '{0}' đã được chọn để liên kết. Nếu nhấp vào 'Xử lý lựa chọn' bây giờ, tệp này sẽ được liên kết. Để tải lên một tệp mới thay thế, hãy xóa lựa chọn trước."
"File Details Issue","Sự cố chi tiết tệp"
"File URL (ERPNext)","URL tệp (ERPNext)"
"File details fetched. Uploading to SharePoint...","Đã lấy chi tiết tệp. Đang tải lên SharePoint..."
"File link not available or item is not a file.","Liên kết tệp không khả dụng hoặc mục không phải là tệp."
"File successfully uploaded and linked. Creating document version...","Tệp đã được tải lên và liên kết thành công. Đang tạo phiên bản Công văn..."
"File successfully uploaded and linked. Please save the document.","Tệp đã được tải lên và liên kết thành công. Vui lòng lưu Công văn."
"Final Approver","Người phê duyệt cuối cùng"
"Folder Path","Đường dẫn thư mục"
"Folder is empty or unable to load contents.","Thư mục trống hoặc không thể tải nội dung."
"Group Name","Tên nhóm"
"IDs and Group Name fetched successfully.","Đã lấy ID và Tên nhóm thành công."
"If you want to upload a new file to the selected path/folder.","Nếu bạn muốn tải lên một tệp mới vào đường dẫn/thư mục đã chọn."
"Incoming Document","Công văn đến"
"Incoming Number (Manual)","Số đến (Thủ công)"
"Initiating download...","Đang bắt đầu tải xuống..."
"Item Details Error","Lỗi chi tiết mục"
"Item Details Issue","Sự cố chi tiết mục"
"Loading contents for:","Đang tải nội dung cho:"
"MS Teams Link","Liên kết MS Teams"
"Microsoft Entra (Azure AD) Group ID","ID nhóm Microsoft Entra (Azure AD)"
"Microsoft Entra Group","Nhóm Microsoft Entra"
"Microsoft Graph Connected App","Ứng dụng được kết nối Microsoft Graph"
"Network Error","Lỗi mạng"
"Network error while listing contents.","Lỗi mạng khi liệt kê nội dung."
"New file will be uploaded to:","Tệp mới sẽ được tải lên:"
"Open File Link","Mở liên kết tệp"
"Open File in New Tab","Mở tệp trong tab mới"
"Outgoing Document","Công văn đi"
"Outgoing Number","Số đi"
"Path:","Đường dẫn:"
"Pending Final Approval","Đang chờ phê duyệt cuối cùng"
"Pending Signing Approval","Đang chờ phê duyệt ký"
"Please either select a file to upload, or navigate to and select an existing file in SharePoint to link.","Vui lòng chọn một tệp để tải lên hoặc điều hướng đến và chọn một tệp hiện có trong SharePoint để liên kết."
"Please enter the Microsoft Entra (Azure AD) Group ID first.","Vui lòng nhập ID nhóm Microsoft Entra (Azure AD) trước."
"Please save the Folder document first.","Vui lòng lưu tài liệu Thư mục trước."
"Please save the document before attaching files.","Vui lòng lưu Công văn trước khi đính kèm tệp."
"Please select a SharePoint Folder Location first.","Vui lòng chọn vị trí thư mục SharePoint trước."
"Please select a SharePoint Folder Location to browse.","Vui lòng chọn vị trí thư mục SharePoint để duyệt."
"Please select a SharePoint Folder Location.","Vui lòng chọn vị trí thư mục SharePoint."
"Please upload a new file or select an existing file from the list to link.","Vui lòng tải lên một tệp mới hoặc chọn một tệp hiện có từ danh sách để liên kết."
"Process Selection","Xử lý lựa chọn"
"Processing Details","Chi tiết xử lý"
"Relative path of the folder in SharePoint (e.g., 'Department/SubFolder'). This will be used to generate the document name.","Đường dẫn tương đối của thư mục trong SharePoint (ví dụ: 'Phòng ban/Thư mục con'). Đường dẫn này sẽ được sử dụng để tạo tên Công văn."
"Save the document to see SharePoint contents.","Lưu Công văn để xem nội dung SharePoint."
"Select the Connected App configured for Microsoft Graph API access.","Chọn ứng dụng được kết nối đã cấu hình để truy cập API Microsoft Graph."
"Select the SharePoint folder where this document's files should be stored. If empty, uses the default location from settings.","Chọn thư mục SharePoint nơi các tệp của Công văn này sẽ được lưu trữ. Nếu để trống, sẽ sử dụng vị trí mặc định từ cài đặt."
"Select the base SharePoint Folder record. This determines the root for browsing.","Chọn bản ghi Thư mục SharePoint gốc. Bản ghi này xác định thư mục gốc để duyệt."
"Selected file:","Tệp đã chọn:"
"Selected for linking:","Đã chọn để liên kết:"
"Selection Error","Lỗi lựa chọn"
"Server error while listing contents.","Lỗi máy chủ khi liệt kê nội dung."
"SharePoint Contents","Nội dung SharePoint"
"SharePoint Drive (Library) ID","ID ổ đĩa (Thư viện) SharePoint"
"SharePoint Folder Location","Vị trí thư mục SharePoint"
"SharePoint IDs fetched successfully","Đã lấy ID SharePoint thành công"
"SharePoint Integration","Tích hợp SharePoint"
"SharePoint Link","Liên kết SharePoint"
"SharePoint Site ID","ID trang SharePoint"
"SharePoint URL (teams_link) is required for download.","Cần có URL SharePoint (teams_link) để tải xuống."
"Sharepoint Version","Phiên bản Sharepoint"
"Signing Approver","Người phê duyệt ký"
"Storage Location","Vị trí lưu trữ"
"Successfully linked to existing SharePoint file. Please save the document.","Đã liên kết thành công với tệp SharePoint hiện có. Vui lòng lưu Công văn."
"Task Status","Trạng thái nhiệm vụ"
"Tasks Assigned","Nhiệm vụ được giao"
"The ID of the target Document Library (Drive) within the SharePoint Site.","ID của Thư viện tài liệu (Ổ đĩa) đích trong Trang SharePoint."
"The ID of the target SharePoint Site (obtainable via Graph API/Explorer).","ID của Trang SharePoint đích (có thể lấy qua Graph API/Explorer)."
"The Microsoft Entra Group (and associated SharePoint site/drive) this folder belongs to.","Nhóm Microsoft Entra (và trang/ổ đĩa SharePoint liên quan) mà thư mục này thuộc về."
"The base path within the Drive where documents will be stored (e.g., 'Shared Documents/Folder').","Đường dẫn gốc trong Ổ đĩa nơi Công văn sẽ được lưu trữ (ví dụ: 'Tài liệu được chia sẻ/Thư mục')."
"The full path to the file in SharePoint after upload.","Đường dẫn đầy đủ đến tệp trong SharePoint sau khi tải lên."
"The provided link does not point to a downloadable file.","Liên kết được cung cấp không trỏ đến một tệp có thể tải xuống."
"The selected item is unexpectedly a folder. Please try again.","Mục đã chọn bất ngờ là một thư mục. Vui lòng thử lại."
"This folder is empty.","Thư mục này trống."
"Unexpected error during download: {0}","Lỗi không mong muốn trong quá trình tải xuống: {0}"
"Unexpected error resolving share link: {0}","Lỗi không mong muốn khi phân giải liên kết chia sẻ: {0}"
"Upload Error","Lỗi tải lên"
"Upload Issue","Sự cố tải lên"
"Upload New File (Optional)","Tải lên tệp mới (Tùy chọn)"
"Upload completed but no link/path was returned.","Tải lên hoàn tất nhưng không có liên kết/đường dẫn nào được trả về."
"Upload or Link File to SharePoint","Tải lên hoặc liên kết tệp với SharePoint"
"Version Number","Số phiên bản"
"Versions","Các phiên bản"
"Văn thư","Văn thư"
"Web URL is required to fetch drive item details.","Cần có URL web để lấy chi tiết mục ổ đĩa."
